Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time,Comment
2021-08-31,Hammer Strength Chest Press,Chest,60.0,5,,,,""
2021-08-31,Seated Leg Press,Legs,100.0,10,,,,""
2021-08-31,Seated Leg Press,Legs,100.0,10,,,,"Wwhttps://media.tenor.com/images/02d6514c550f6b5ab07391d619944220/tenor.gif https://media.tenor.com/images/02d6514c550f6b5ab07391d619944220/tenor.gif https://media.tenor.com/images/02d6514c550f6b5ab07391d619944220/tenor.gif https://media.tenor.com/images/02d6514c550f6b5ab07391d619944220/tenor.gif https://media.tenor.com/images/02d6514c550f6b5ab07391d619944220/tenor.gif https://media.tenor.com/images/02d6514c550f6b5ab07391d619944220/tenor.gif https://media.tenor.com/images/02d6514c550f6b5ab07391d619944220/tenor.gif"
2021-08-31,Seated Leg Press,Legs,100.0,10,,,,""
2021-08-31,Seated Leg Press,Legs,100.0,10,,,,""
2021-08-31,Seated Leg Press,Legs,100.0,10,,,,""
2021-08-31,Seated Leg Press,Legs,100.0,10,,,,""
2021-08-31,Hammer Strength Abdominal Crunch,Abs,50.0,10,,,,""
2021-08-31,Hammer Strength Abdominal Crunch,Abs,50.0,10,,,,""
2021-08-31,Hammer Strength Abdominal Crunch,Abs,60.0,10,,,,""
2021-08-31,Stairs,Cardio,,,60.0,m,0:05:00,""
2021-09-07,Hammer Strength Row,Back,100.0,10,,,,""
2021-09-07,Hammer Strength Row,Back,120.0,10,,,,""
2021-09-07,Hammer Strength Row,Back,120.0,10,,,,""
2021-09-07,Hammer Strength Row,Back,100.0,10,,,,""
2021-09-07,Hammer Strength Row,Back,100.0,10,,,,""
2021-09-07,Hammer Strength Chest Press,Chest,80.0,10,,,,""
2021-09-07,Hammer Strength Chest Press,Chest,80.0,10,,,,""
2021-09-07,Hammer Strength Chest Press,Chest,80.0,10,,,,""
2021-09-07,Hammer Strength Chest Press,Chest,80.0,10,,,,""
2021-09-07,Hammer Strength Chest Press,Chest,80.0,10,,,,""
2021-09-07,Barbell Curl,Biceps,17.5,40,,,,""
2021-09-07,Back Extension,Back,140.0,10,,,,""
2021-09-07,Back Extension,Back,155.0,10,,,,""
2021-09-07,Back Extension,Back,110.0,10,,,,""
2021-09-07,Hammer Strength Row,Back,140.0,10,,,,""
2021-09-07,Hammer Strength Row,Back,140.0,10,,,,""
2021-09-07,Hammer Strength Row,Back,100.0,10,,,,""
2021-09-07,Hammer Strength Row,Back,100.0,10,,,,""
2021-09-07,Hammer Strength Row,Back,120.0,7,,,,""
2021-09-07,Seated Leg Press,Legs,130.0,10,,,,""
2021-09-07,Seated Leg Press,Legs,130.0,10,,,,""
2021-09-07,Seated Leg Press,Legs,130.0,10,,,,""
2021-09-07,Seated Leg Press,Legs,130.0,10,,,,""
2021-09-07,Stairs,Cardio,,,60.0,m,0:02:00,""
2021-09-08,Hammer Strength Shoulder Press,Shoulders,100.0,10,,,,""
2021-09-08,Hammer Strength Shoulder Press,Shoulders,120.0,10,,,,""
